VENUE	PokerAtlasURL
Final Table Poker Club	https://www.pokeratlas.com/poker-room/final-table-poker-club-portland
Medford Social Club Poker Room	https://www.pokeratlas.com/poker-room/medford-social-club-poker-room-medford
Oregon Poker Club - Kit Kat Club	
Oregon Poker Club - Rialto Pool Room	
Oregon Poker Club - Stadiums Sports Bar	
The Club House	
The Diamond Poker Club	
The Game	
Grants Pass Poker Room	https://www.pokeratlas.com/poker-room/grants-pass
High Mountain Poker	https://www.pokeratlas.com/poker-room/high-mountain-poker-eugene
Full House Poker	https://www.pokeratlas.com/poker-room/full-house-poker-eugene
Bend Poker Room	https://www.pokeratlas.com/poker-room/bend-poker-room
International Poker Eugene	
Manchester Poker	https://www.pokeratlas.com/poker-room/manchester-poker
Chasers Poker Room	https://www.pokeratlas.com/poker-room/chasers-poker-room-salem
Gate City Poker Room	https://www.pokeratlas.com/poker-room/gate-city-nashua
Nash Casino Poker Room	
Lebanon Poker Room	https://www.pokeratlas.com/poker-room/lebanon-poker-room
The Brook Poker Room	https://www.pokeratlas.com/poker-room/the-brook-seabrook
Filotimo Casino Manchester	https://www.pokeratlas.com/poker-room/manchester-poker
Filotimo Casino Dover	https://www.pokeratlas.com/poker-room/revo-casino-social-house-dover
The River Casino	https://www.pokeratlas.com/poker-room/the-river-casino-nashua
Lakes Region Casino	https://www.pokeratlas.com/poker-room/lakes-region-casino-belmont
Concord Casino	https://www.pokeratlas.com/poker-room/concord-casino
Revo Casino - Conway	https://www.pokeratlas.com/poker-room/revo-casino-social-house-conway
Revo Casino - Keene	https://www.pokeratlas.com/poker-room/revo-casino-social-house-keene
Revo Casino - Lebanon	https://www.pokeratlas.com/poker-room/lebanon-poker-room
Burton Eagles Poker Room	
DiCicco's Poker Room	https://www.pokeratlas.com/poker-room/dicicco-s-poker-room-shelby-township
G's Charity Poker	https://www.pokeratlas.com/poker-room/gs-charity-poker-shelby-township
Kings Poker Room	https://www.pokeratlas.com/poker-room/kings-poker-room-grand-rapids
Muskegon Poker Room	https://www.pokeratlas.com/poker-room/muskegon-poker-room-muskegon
Owosso Poker Room	https://www.pokeratlas.com/poker-room/owosso-poker-room-owosso
Paradise Poker	https://www.pokeratlas.com/poker-room/paradise-poker-utica
Rosemack Poker Room	https://www.pokeratlas.com/poker-room/rosemack-roseville
Roundtree Poker Room	https://www.pokeratlas.com/poker-room/roundtree-poker-room-ypsilanti
The Event Spot Poker Room	https://www.pokeratlas.com/poker-room/event-spot-poker-room-clawson
The Saginaw Poker Room	https://www.pokeratlas.com/poker-room/saginaw-poker-room-saginaw
Thompson Poker Room	https://www.pokeratlas.com/poker-room/thompson-poker-room-ypsilanti
Waterford Card Room	https://www.pokeratlas.com/poker-room/waterford-card-room-waterford
Krazy Kopz at Vision Lanes	https://www.pokeratlas.com/poker-room/krazy-kopz-vision-lanes-westland
Krazy Kopz @ The Ivory Room	
Legends Poker Place of Metamora	https://www.pokeratlas.com/poker-room/legends-poker-place-of-metamora
Momo's Poker Room	https://www.pokeratlas.com/poker-room/momo-s-poker-room-taylor
Ace High Poker Club	https://www.pokeratlas.com/poker-room/ace-high-poker-club-oxford
Chicago Charitable Games	https://www.pokeratlas.com/poker-room/ccg-poker-chicago
Rockford Charitable Games (RCG Poker)	https://www.pokeratlas.com/poker-room/rockford-charity-games-rockford
Central Illinois Charitable Games (CICG Poker)	
Windy City Poker Championship	
Play Poker Chicago	
The Event Spot	https://www.pokeratlas.com/poker-room/event-spot-poker-room-clawson
Krazy Kopz at Vision Lanes	https://www.pokeratlas.com/poker-room/krazy-kopz-vision-lanes-westland
Ciccarelli's Sports Bar	https://www.pokeratlas.com/poker-room/dicicco-s-poker-room-shelby-township
DiCicco's Poker Room	https://www.pokeratlas.com/poker-room/dicicco-s-poker-room-shelby-township
G's Charity Poker	https://www.pokeratlas.com/poker-room/gs-charity-poker-shelby-township
Huron Poker Room (Friends of Huron)	
5 Star Charity Poker	
Northway Lanes Poker Room	
All Star Poker	
300 Bowl Card Room	
MO's Poker Room	
Legends Poker Place of Metamora	https://www.pokeratlas.com/poker-room/legends-poker-place-of-metamora
Momo's Poker Room	https://www.pokeratlas.com/poker-room/momo-s-poker-room-taylor
Rosemack Poker Room	https://www.pokeratlas.com/poker-room/rosemack-roseville
Roundtree Poker Room	https://www.pokeratlas.com/poker-room/roundtree-poker-room-ypsilanti
Thompson Poker Room	https://www.pokeratlas.com/poker-room/thompson-poker-room-ypsilanti
Waterford Card Room	https://www.pokeratlas.com/poker-room/waterford-card-room-waterford
Burton Eagles Poker Room	
Krazy Kopz @ The Ivory Room	
Poker Zone	
King's Charity Poker Room	
Cheers Poker Room & Casino	https://www.pokeratlas.com/poker-room/cheers-poker-room-manchester
The Brook	https://www.pokeratlas.com/poker-room/the-brook-seabrook
Chasers Poker Room	https://www.pokeratlas.com/poker-room/chasers-poker-room-salem
Aces and Eights Casino	
Beach Club Casino	
Casino Salem	
Filotimo Casino Manchester	https://www.pokeratlas.com/poker-room/manchester-poker
Filotimo Casino Dover	https://www.pokeratlas.com/poker-room/revo-casino-social-house-dover
Gate City Casino	https://www.pokeratlas.com/poker-room/gate-city-nashua
The River Casino	https://www.pokeratlas.com/poker-room/the-river-casino-nashua
Lakes Region Casino	https://www.pokeratlas.com/poker-room/lakes-region-casino-belmont
Concord Casino	https://www.pokeratlas.com/poker-room/concord-casino
Revo Casino Conway	https://www.pokeratlas.com/poker-room/revo-casino-social-house-conway
Revo Casino Keene	https://www.pokeratlas.com/poker-room/revo-casino-social-house-keene
Revo Casino Lebanon	https://www.pokeratlas.com/poker-room/lebanon-poker-room
Seabrook Poker Room	
Canterbury Park Card Club	https://www.pokeratlas.com/poker-room/canterbury-park-shakopee
American Legion East Grand Forks	
Beef O' Brady's St Francis	
Billy's Corner Bar & Grill	
Billy's Rockford Bar	
Sure Bet	
Fortune Bay Resort Casino Poker	
Mad River Poker Club	https://www.pokeratlas.com/poker-room/mad-river-poker-club-dayton
Shark Tank Poker Club	
Big Stack Poker Club	
Buckeye Charity Poker	
Nautica Charity Poker Festivals	
Chagrin Falls Dads' Club Poker Tournament	
Bexley Community Foundation Poker	
The Joker Club	
Reserve Poker Club	
Grinder's Poker Club	
Elks Lodges (Various)	
Little Kings and Queens	
Elks #155 Charity Casino	
Central Valley Gaming (Turlock Poker Room)	https://www.pokeratlas.com/poker-room/turlock-poker-room
